Unnamed: 0,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
146,Penyakit kuning,gatal,muntah,kelelahan,demam tinggi
147,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
148,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
149,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
150,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
151,Malaria,panas dingin,muntah,demam tinggi,berkeringat
152,Malaria,panas dingin,muntah,demam tinggi,berkeringat
153,Malaria,panas dingin,muntah,demam tinggi,berkeringat
154,Malaria,muntah,demam tinggi,berkeringat,sakit kepala
155,Malaria,panas dingin,demam tinggi,berkeringat,sakit kepala
156,Malaria,panas dingin,muntah,berkeringat,sakit kepala
157,Malaria,panas dingin,muntah,demam tinggi,sakit kepala
158,Malaria,panas dingin,muntah,demam tinggi,berkeringat
159,Malaria,panas dingin,muntah,demam tinggi,berkeringat
160,Malaria,panas dingin,muntah,demam tinggi,berkeringat
161,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
162,Cacar air,ruam kulit,kelelahan,kelesuan,demam tinggi
163,Cacar air,gatal,kelelahan,kelesuan,demam tinggi
164,Cacar air,gatal,ruam kulit,kelesuan,demam tinggi
165,Cacar air,gatal,ruam kulit,kelelahan,demam tinggi
166,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
167,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
168,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
169,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
170,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
171,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
172,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
173,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
174,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
175,demam berdarah,panas dingin,nyeri sendi,muntah,kelelahan
176,demam berdarah,ruam kulit,nyeri sendi,muntah,kelelahan
177,demam berdarah,ruam kulit,panas dingin,muntah,kelelahan
178,demam berdarah,ruam kulit,panas dingin,nyeri sendi,kelelahan
179,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
180,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
181,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
182,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
183,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
184,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
185,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
186,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
187,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
188,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
189,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
190,Penyakit tipus,panas dingin,kelelahan,demam tinggi,sakit kepala
251,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
252,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
253,TBC,muntah,kelelahan,penurunan berat badan,batuk
254,TBC,panas dingin,kelelahan,penurunan berat badan,batuk
255,TBC,panas dingin,muntah,penurunan berat badan,batuk
256,TBC,panas dingin,muntah,kelelahan,batuk
257,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
258,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
259,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
260,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
261,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
262,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
263,Flu biasa,panas dingin,kelelahan,batuk,demam tinggi
264,Flu biasa,bersin terus menerus,kelelahan,batuk,demam tinggi
265,Flu biasa,bersin terus menerus,panas dingin,batuk,demam tinggi
266,Flu biasa,bersin terus menerus,panas dingin,kelelahan,demam tinggi
267,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
268,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
269,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
270,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
271,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
272,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
273,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
274,Radang paru-paru,kelelahan,batuk,demam tinggi,sesak napas
275,Radang paru-paru,panas dingin,batuk,demam tinggi,sesak napas
276,Radang paru-paru,panas dingin,kelelahan,demam tinggi,sesak napas
277,Radang paru-paru,panas dingin,kelelahan,batuk,sesak napas
278,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
279,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
280,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
281,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
282,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
283,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
284,Wasir dimorfik (tumpukan),nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
285,Wasir dimorfik (tumpukan),sembelit,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
286,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,darah dalam tinja,iritasi di anus
287,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,iritasi di anus
288,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
289,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
290,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
431,GERD,sakit perut,keasaman,bisul di lidah,muntah
432,GERD,sakit perut,bisul di lidah,muntah,batuk
433,GERD,sakit perut,keasaman,muntah,batuk
434,GERD,sakit perut,keasaman,bisul di lidah,batuk
435,GERD,sakit perut,keasaman,bisul di lidah,muntah
436,GERD,sakit perut,keasaman,bisul di lidah,muntah
437,GERD,keasaman,bisul di lidah,muntah,batuk
438,GERD,sakit perut,bisul di lidah,muntah,batuk
439,GERD,sakit perut,keasaman,muntah,batuk
440,GERD,sakit perut,keasaman,bisul di lidah,batuk
461,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
462,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
463,Penyakit tukak lambung,gangguan pencernaan,kehilangan nafsu makan,sakit perut,masuk angin
464,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
465,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
466,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,masuk angin
467,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
468,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
469,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
470,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
471,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
472,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
473,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
474,AIDS,pengecilan otot,bercak di tenggorokan,kontak di luar nikah,
475,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
476,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
477,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
478,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
479,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
480,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
481,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
482,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
483,Diabetes,penurunan berat badan,kegelisahan,kelesuan,kadar gula tidak teratur
484,Diabetes,kelelahan,kegelisahan,kelesuan,kadar gula tidak teratur
485,Diabetes,kelelahan,penurunan berat badan,kelesuan,kadar gula tidak teratur
486,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kadar gula tidak teratur
487,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
488,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
489,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
490,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
511,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
512,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
513,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
514,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
515,Hipertensi,sakit kepala,nyeri dada,pusing,kurangnya konsentrasi
516,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
517,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
518,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
519,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
520,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
521,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
522,Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
523,Migrain,keasaman,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
524,Migrain,keasaman,gangguan pencernaan,penglihatan kabur dan terdistorsi,kelaparan berlebihan
525,Migrain,keasaman,gangguan pencernaan,sakit kepala,kelaparan berlebihan
526,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
527,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
528,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
529,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
530,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
551,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
552,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
553,Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi
554,Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi
555,Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi
556,Penyakit kuning,gatal,muntah,kelelahan,demam tinggi
557,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
558,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
559,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
560,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
561,Malaria,panas dingin,muntah,demam tinggi,berkeringat
562,Malaria,panas dingin,muntah,demam tinggi,berkeringat
563,Malaria,panas dingin,muntah,demam tinggi,berkeringat
564,Malaria,muntah,demam tinggi,berkeringat,sakit kepala
565,Malaria,panas dingin,demam tinggi,berkeringat,sakit kepala
566,Malaria,panas dingin,muntah,berkeringat,sakit kepala
567,Malaria,panas dingin,muntah,demam tinggi,sakit kepala
568,Malaria,panas dingin,muntah,demam tinggi,berkeringat
569,Malaria,panas dingin,muntah,demam tinggi,berkeringat
570,Malaria,panas dingin,muntah,demam tinggi,berkeringat
571,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
572,Cacar air,ruam kulit,kelelahan,kelesuan,demam tinggi
573,Cacar air,gatal,kelelahan,kelesuan,demam tinggi
574,Cacar air,gatal,ruam kulit,kelesuan,demam tinggi
575,Cacar air,gatal,ruam kulit,kelelahan,demam tinggi
576,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
577,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
578,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
579,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
580,Cacar air,gatal,ruam kulit,kelelahan,kelesuan
581,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
582,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
583,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
584,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
585,demam berdarah,panas dingin,nyeri sendi,muntah,kelelahan
586,demam berdarah,ruam kulit,nyeri sendi,muntah,kelelahan
587,demam berdarah,ruam kulit,panas dingin,muntah,kelelahan
588,demam berdarah,ruam kulit,panas dingin,nyeri sendi,kelelahan
589,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
590,demam berdarah,ruam kulit,panas dingin,nyeri sendi,muntah
591,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
592,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
593,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
594,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
595,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
596,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
597,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
598,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
599,Penyakit tipus,panas dingin,muntah,kelelahan,demam tinggi
600,Penyakit tipus,panas dingin,kelelahan,demam tinggi,sakit kepala
661,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
662,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
663,TBC,muntah,kelelahan,penurunan berat badan,batuk
664,TBC,panas dingin,kelelahan,penurunan berat badan,batuk
665,TBC,panas dingin,muntah,penurunan berat badan,batuk
666,TBC,panas dingin,muntah,kelelahan,batuk
667,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
668,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
669,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
670,TBC,panas dingin,muntah,kelelahan,penurunan berat badan
671,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
672,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
673,Flu biasa,panas dingin,kelelahan,batuk,demam tinggi
674,Flu biasa,bersin terus menerus,kelelahan,batuk,demam tinggi
675,Flu biasa,bersin terus menerus,panas dingin,batuk,demam tinggi
676,Flu biasa,bersin terus menerus,panas dingin,kelelahan,demam tinggi
677,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
678,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
679,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
680,Flu biasa,bersin terus menerus,panas dingin,kelelahan,batuk
681,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
682,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
683,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
684,Radang paru-paru,kelelahan,batuk,demam tinggi,sesak napas
685,Radang paru-paru,panas dingin,batuk,demam tinggi,sesak napas
686,Radang paru-paru,panas dingin,kelelahan,demam tinggi,sesak napas
687,Radang paru-paru,panas dingin,kelelahan,batuk,sesak napas
688,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
689,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
690,Radang paru-paru,panas dingin,kelelahan,batuk,demam tinggi
691,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
692,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
693,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
694,Wasir dimorfik (tumpukan),nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
695,Wasir dimorfik (tumpukan),sembelit,nyeri di wilayah anal,darah dalam tinja,iritasi di anus
696,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,darah dalam tinja,iritasi di anus
697,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,iritasi di anus
698,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
699,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
700,Wasir dimorfik (tumpukan),sembelit,nyeri saat buang air besar,nyeri di wilayah anal,darah dalam tinja
841,GERD,sakit perut,keasaman,bisul di lidah,muntah
842,GERD,sakit perut,bisul di lidah,muntah,batuk
843,GERD,sakit perut,keasaman,muntah,batuk
844,GERD,sakit perut,keasaman,bisul di lidah,batuk
845,GERD,sakit perut,keasaman,bisul di lidah,muntah
846,GERD,sakit perut,keasaman,bisul di lidah,muntah
847,GERD,keasaman,bisul di lidah,muntah,batuk
848,GERD,sakit perut,bisul di lidah,muntah,batuk
849,GERD,sakit perut,keasaman,muntah,batuk
850,GERD,sakit perut,keasaman,bisul di lidah,batuk
871,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
872,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
873,Penyakit tukak lambung,gangguan pencernaan,kehilangan nafsu makan,sakit perut,masuk angin
874,Penyakit tukak lambung,muntah,kehilangan nafsu makan,sakit perut,masuk angin
875,Penyakit tukak lambung,muntah,gangguan pencernaan,sakit perut,masuk angin
876,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,masuk angin
877,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
878,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
879,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
880,Penyakit tukak lambung,muntah,gangguan pencernaan,kehilangan nafsu makan,sakit perut
881,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
882,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
883,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
884,AIDS,pengecilan otot,bercak di tenggorokan,kontak di luar nikah,
885,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
886,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
887,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,kontak di luar nikah
888,AIDS,bercak di tenggorokan,demam tinggi,kontak di luar nikah,
889,AIDS,pengecilan otot,demam tinggi,kontak di luar nikah,
890,AIDS,pengecilan otot,bercak di tenggorokan,demam tinggi,
891,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
892,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
893,Diabetes,penurunan berat badan,kegelisahan,kelesuan,kadar gula tidak teratur
894,Diabetes,kelelahan,kegelisahan,kelesuan,kadar gula tidak teratur
895,Diabetes,kelelahan,penurunan berat badan,kelesuan,kadar gula tidak teratur
896,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kadar gula tidak teratur
897,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
898,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
899,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
900,Diabetes,kelelahan,penurunan berat badan,kegelisahan,kelesuan
921,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
922,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
923,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
924,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
925,Hipertensi,sakit kepala,nyeri dada,pusing,kurangnya konsentrasi
926,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
927,Hipertensi,sakit kepala,nyeri dada,pusing,kehilangan keseimbangan
928,Hipertensi,nyeri dada,pusing,kehilangan keseimbangan,kurangnya konsentrasi
929,Hipertensi,sakit kepala,pusing,kehilangan keseimbangan,kurangnya konsentrasi
930,Hipertensi,sakit kepala,nyeri dada,kehilangan keseimbangan,kurangnya konsentrasi
931,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
932,Migrain,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
933,Migrain,keasaman,sakit kepala,penglihatan kabur dan terdistorsi,kelaparan berlebihan
934,Migrain,keasaman,gangguan pencernaan,penglihatan kabur dan terdistorsi,kelaparan berlebihan
935,Migrain,keasaman,gangguan pencernaan,sakit kepala,kelaparan berlebihan
936,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
937,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
938,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
939,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
940,Migrain,keasaman,gangguan pencernaan,sakit kepala,penglihatan kabur dan terdistorsi
961,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
962,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
963,Penyakit kuning,muntah,kelelahan,penurunan berat badan,demam tinggi
964,Penyakit kuning,gatal,kelelahan,penurunan berat badan,demam tinggi
965,Penyakit kuning,gatal,muntah,penurunan berat badan,demam tinggi
966,Penyakit kuning,gatal,muntah,kelelahan,demam tinggi
967,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
968,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
969,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
970,Penyakit kuning,gatal,muntah,kelelahan,penurunan berat badan
971,Malaria,panas dingin,muntah,demam tinggi,berkeringat
972,Malaria,panas dingin,muntah,demam tinggi,berkeringat
973,Malaria,panas dingin,muntah,demam tinggi,berkeringat
